# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 576.7 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
1	0.0	0.0000	cae	restauracion-del-arbol-ejecutable.test.mjs · la restauración pide DOS piezas cuando el fichero se compila   (+1 test(s) más caídos)
2	1.5	0.0027	cae	restauracion-del-arbol-ejecutable.test.mjs · devuelve LOS DOS ficheros a sus bytes
3	3.1	0.0054	cae	restauracion-del-arbol-ejecutable.test.mjs · el censo distingue EJECUTAR dist/ de nombrarlo
4	4.3	0.0074	cae	scrum443-toast-legible.test.mjs · TODO mensaje de error cabe en su propia duración   (+2 test(s) más caídos)
5	4.8	0.0083	cae	scrum443-toast-legible.test.mjs · lo que NO se cierra solo SIEMPRE se puede cerrar a mano
6	5.7	0.0099	cae	scrum534d-extractores-a-mano.test.mjs · SCRUM-534d · 🔴 MUTACIÓN: quitar el espacio de la expresión reabre el agujero, y ENTRA
7	6.1	0.0106	cae	scrum534d-extractores-a-mano.test.mjs · SCRUM-534d · 🔴 ningún extractor de rutas .md se escribe A MANO   (+1 test(s) más caídos)
8	6.8	0.0118	cae	scrum547-el-documento-que-nadie-mira.test.mjs · SCRUM-547 · 🔴 todo documento «para aprobar» está enlazado desde donde el fundador mira   (+1 test(s) más caídos)
9	7.2	0.0125	cae	scrum547-el-documento-que-nadie-mira.test.mjs · SCRUM-547 · 🔴 la lista de «sin enlazar» está cerrada, y ninguna entrada sobra
10	9.6	0.0166	cae	scrum554-el-censo-no-confunde-el-numero.test.mjs · SCRUM-554 · NEGATIVO: un 143 real NO se llama rojo
11	11.4	0.0198	cae	scrum586-forma-de-pago-por-cliente.test.mjs · EL QUE CIERRA LA DECISIÓN: aplicar NO se alcanza fuera de un clic   (+1 test(s) más caídos)
12	12.4	0.0214	cae	scrum586-forma-de-pago-por-cliente.test.mjs · un valor ILEGIBLE no es una propuesta más pequeña: no hay propuesta
13	13.3	0.0230	cae	scrum586-forma-de-pago-por-cliente.test.mjs · sin IBAN NO se propone transferencia, aunque esté pactada
14	14.2	0.0246	cae	scrum586-forma-de-pago-por-cliente.test.mjs · un pacto de LAS TRES consta, y aun así no propone nada
15	15.1	0.0262	cae	scrum586-forma-de-pago-por-cliente.test.mjs · el texto de la tira es el FIRMADO, literal
16	16.0	0.0278	cae	scrum586-forma-de-pago-por-cliente.test.mjs · el rótulo del BOTÓN sigue sin firmar, con la grafía que el censo CUENTA   (+1 test(s) más caídos)
17	17.5	0.0303	cae	scrum596-la-nota-interna-no-sale.test.mjs · SCRUM-596 · 🔴 LA NOTA INTERNA NO PASA EL PROYECTOR, y la fila SÍ la traía
18	18.2	0.0316	cae	scrum596-la-nota-interna-no-sale.test.mjs · SCRUM-596 · 🔴 LA LANDING DEL CLIENTE NO LEE LA NOTA INTERNA
19	19.6	0.0341	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · Presupuestos ya NO tiene submenú, y su entrada abre la LISTA
20	20.3	0.0353	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · LAS CUATRO LISTAS registran su destino, y Clientes es una de ellas
21	21.0	0.0365	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · la tecla se pinta EN el botón, en las CUATRO listas
22	23.9	0.0414	cae	scrum600d-el-envio-tras-emitir.test.mjs · tras emitir, el destino es la FICHA del documento, con su id   (+4 test(s) más caídos)
23	25.3	0.0439	cae	scrum600d-el-envio-tras-emitir.test.mjs · tras emitir, el destino es la FICHA del documento, con su id   (+3 test(s) más caídos)
24	26.8	0.0464	cae	scrum600d-el-envio-tras-emitir.test.mjs · RESPALDO: si el alta no trae id, se vuelve al listado — nunca a una ficha vacía
25	28.3	0.0491	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · el ALBARÁN dice ALBARÁN arriba del todo, en sus tres modos   (+1 test(s) más caídos)
26	29.1	0.0505	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · la FACTURA dice FACTURA arriba del todo   (+1 test(s) más caídos)
27	29.9	0.0518	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · el PRESUPUESTO dice su tipo, y lo dice en el idioma del país
28	30.9	0.0536	cae	scrum631-la-unicidad-tiene-vigilante.test.mjs · GUARD · src/index.ts ESPERA a assertUnicidadDeNombre ANTES de app.listen
29	31.4	0.0545	cae	scrum631-la-unicidad-tiene-vigilante.test.mjs · GUARD · src/index.ts ESPERA a assertUnicidadDeNombre ANTES de app.listen
30	32.6	0.0565	cae	scrum641-nombre-cogido-sin-500.test.mjs · toda escritura de UNA FILA contesta 409 al chocar con el nombre
31	33.1	0.0574	cae	scrum641-nombre-cogido-sin-500.test.mjs · un código SIN mapear cae al respaldo que ya estaba escrito, no al código
32	35.2	0.0611	cae	scrum649-el-ancla-que-no-apunta.test.mjs · SCRUM-649 · 🔴 EL QUE DECIDE: un sha bien formado e INEXISTENTE hace caer el guard
33	35.9	0.0622	cae	scrum691-contraste-de-tokens.test.mjs · SCRUM-691 · 🔴 todo par declarado llega a 3,00 de contraste   (+3 test(s) más caídos)
34	36.2	0.0628	cae	scrum691-contraste-de-tokens.test.mjs · SCRUM-691c · 🔴 el borde del CAMPO se ve MÁS que el de su tarjeta, y no al revés   (+4 test(s) más caídos)
35	37.2	0.0646	cae	scrum716-ritmo-de-despliegue.test.mjs · EL QUE DECIDE: sin lectura anterior es NO SE SABE, y NO «congelado»   (+1 test(s) más caídos)
36	37.7	0.0654	cae	scrum716-ritmo-de-despliegue.test.mjs · DESPLIEGA: producción se movió entre las dos lecturas   (+8 test(s) más caídos)
37	38.2	0.0663	cae	scrum716-ritmo-de-despliegue.test.mjs · una lectura ilegible da NO SE SABE, no un veredicto a medias
38	38.7	0.0672	cae	scrum716-ritmo-de-despliegue.test.mjs · una lectura ilegible da NO SE SABE, no un veredicto a medias
39	39.2	0.0681	cae	scrum716-ritmo-de-despliegue.test.mjs · EL CASO DEL 6-sep: RETRASADO PERO DESPLEGANDO, y NO bloquea
40	39.7	0.0689	cae	scrum716-ritmo-de-despliegue.test.mjs · CONGELADO DE VERDAD pasado el margen: CANTA (salida 1)
41	40.3	0.0698	cae	scrum716-ritmo-de-despliegue.test.mjs · NO_SE_SABE con hueco: ni verde ni congelado (salida 2)
42	40.8	0.0707	cae	scrum716-ritmo-de-despliegue.test.mjs · SIN HUECO sigue verde aunque no haya lectura anterior
43	46.0	0.0797	cae	scrum736-el-suelo-que-no-avisa.test.mjs · SCRUM-736 · 🔴 EL QUE DECIDE: perder 441 tests HOY hace caer el suelo, y BLOQUEA
44	47.5	0.0824	cae	scrum738-el-tablero-contra-el-arbol.test.mjs · «72» NO casa con 720, 727 ni 1727 — se compara el NÚMERO
45	48.3	0.0838	cae	scrum738-el-tablero-contra-el-arbol.test.mjs · SCRUM-684 NO se da por hecho: su entrada está titulada para OTRO
46	49.5	0.0858	cae	scrum739-informes-al-sitio-unico.test.mjs · EL QUE DECIDE: con cuatro cifras, Informes escribe el punto de millar   (+3 test(s) más caídos)
47	50.0	0.0868	cae	scrum739-informes-al-sitio-unico.test.mjs · Informes ya no formatea dinero por su cuenta
48	52.8	0.0915	cae	scrum740-carrera-por-el-arbol.test.mjs · TRINQUETE: todo el que barre el árbol lee con el helper
