# Foto de los ASUNTOS de Jira del proyecto SCRUM — NO se edita a mano.
#
# Para que sirve: el enlace ticket<->rama vive implicito en el nombre de la rama, el mensaje
# del commit y el fichero de docs/master/. Los tres son del REPO. El asunto del TICKET vive solo
# en Jira, y sin el no se puede saber si los tres hablan de lo mismo — que es el caso SCRUM-706.
#
# Tomada el 2026-09-07 con el MCP de Atlassian sobre cloudId 30938fdf-…
# 🔴 TRAMPA MEDIDA AL TOMARLA: la JQL de RANGO («key >= SCRUM-816 AND key <= SCRUM-915») devolvio
#    CERO con SCRUM-816/817/818 existiendo. La misma consulta como «key in (...)» los devuelve los
#    tres. Un rango que miente no da error: da un cero creible. Por eso el instrumento compara su
#    cobertura contra los numeros que encuentra en el repo y DECLARA los que no tiene.
#
# clave	estado	asunto
SCRUM-16	Tareas por hacer	FISCAL-1 · Factura de anticipo con IVA + descuento en factura final ("lo del trimestre")
SCRUM-17	Finalizada	FISCAL-2 · Factura recapitulativa (consolidar albaranes del mismo mes natural)
SCRUM-18	Tareas por hacer	FISCAL-3 · Certificaciones de obra por % + retención de garantía 5% (solo obra)
SCRUM-19	Tareas por hacer	SEPA-1 · Recibo/adeudo SEPA a nivel Trabajo (mandato + remesas para tramos posteriores)
SCRUM-20	Tareas por hacer	VERIFACTU-TRABAJOS · Registro VeriFactu de las facturas nuevas (anticipo + recapitulativa)
SCRUM-21	Finalizada	Equipo/operarios + Export blindado (base de datos descargable para inspecciones)
SCRUM-22	Finalizada	OPERARIO-1 · Autoría del operario en el Trabajo (registro de nombre en todo el flujo)
SCRUM-23	Finalizada	OPERARIO-2 · El operario ve solo sus trabajos (visibilidad por rol)
SCRUM-24	Finalizada	OPERARIO-3 · Vista de admin: supervisar trabajos y progreso por operario
SCRUM-25	Finalizada	EXPORT-1 · Base de datos descargable (ZIP: facturas PDF+XML + CSVs) para inspecciones y asesor
SCRUM-26	Finalizada	Test A12.2c obsoleto (webhooks/psp): actualizar a internalHeaders() tras P0-SEC-4
SCRUM-27	Finalizada	PAGOS-FLEX · Planes de cobro por tramos personalizados (30/40/30, hitos, mensualidades)
SCRUM-28	Finalizada	COBROS-2 · Recalcular totalCobrado también en cobros manuales (Bizum/transferencia)
SCRUM-29	Finalizada	Entorno de STAGING para pruebas E2E de Claude Code (sin tocar producción)
SCRUM-30	Finalizada	UI-DEUDA · Centralizar el mapeo del pill de cobro (Pagado/Parcial/Pendiente → status-pill) en un helper compartido
SCRUM-31	Finalizada	UI-MEJORA · Rediseño/pulido del detalle de Trabajo (centro de mando) — tras feedback de uso real
SCRUM-32	Finalizada	BUG money · El 2º tramo 50/50 se redondea independiente (75,63+75,63) en vez de ser el resto → 1 cént. de más en totales impares
SCRUM-33	Finalizada	PAGOS-FLEX · Etiqueta del tramo en la factura y el WhatsApp (Anticipo/Hito 1 en documentos del cliente)
SCRUM-34	Finalizada	PAGOS-FLEX · UX de generación de tramos: cobrar el siguiente hito sin marcar el trabajo terminado + plan visible en el detalle del presupuesto
SCRUM-35	Finalizada	BUG pre-existente · quote-detail no expone status de las invoices → CTAs "Ver justificante" y "Marcar como pagada" nunca se renderizan
SCRUM-36	Finalizada	QA automatizado · Claude Code como QA con Playwright MCP sobre STAGING (login de test seed, nunca tocar auth de producción)
SCRUM-37	Finalizada	PAGOS-FLEX-2 (spec) · Obras que evolucionan: editar tramos restantes + presupuestos adicionales firmados sobre el mismo Trabajo — gate de "feedback de cliente real" RETIRADO (regla 13 nueva); queda el cambio de máster
SCRUM-38	Finalizada	Staging exprés en Railway para QA autónomo (BD propia, WhatsApp/Resend apagados, login de test seed, Playwright MCP)
SCRUM-39	Finalizada	Seguridad · el magic link (token de login) se loguea a consola en producción (auth.service.ts:42)
SCRUM-40	Finalizada	Deuda técnica · prisma/migrations congelada (mar-2026) vs db push en prod — unificar estrategia de schema antes de que alguien ejecute migrate deploy
SCRUM-41	Tareas por hacer	Go-live de Stripe · activar la cuenta (live mode) y migrar producción de sk_test a sk_live — bloqueante del primer euro real
SCRUM-42	Finalizada	QA staging · el merchant QA del seed cae en id=1 → semántica DEMO (regla 8): quemar id 1 y re-seedear para probar la serie J- real
SCRUM-43	Finalizada	UI · numeración inconsistente de presupuestos (Home usa id global vs quoteNumber) + "Marcar como pagada" sin confirmación (decisión pendiente)
SCRUM-44	Finalizada	QA docs · SUITE_REGRESION.md v1.2: alinear 3 asserts con la UI real (literal "Pendiente", CTA "Ver cobro pendiente", confirmación condicionada a SCRUM-43)
SCRUM-45	Finalizada	Infra/UX · cache-busting de estáticos del dashboard: tras cada deploy la pestaña abierta sirve la versión vieja (reincidente: signaturePad, PWA icons, SCRUM-34)
SCRUM-46	Finalizada	PWA · service worker cache-first sin bump: los usuarios del dashboard NO reciben el JS nuevo tras deploy (SCRUM-43 invisible para usuarios existentes)
SCRUM-47	Finalizada	ALBARAN-2 · Enviar el albarán firmado al WhatsApp del cliente (plantilla Utility: PDF adjunto vs link público) — GATE: confirmarlo en las llamadas a gremios
SCRUM-48	Finalizada	Seguridad · PDFs de albarán públicos y enumerables (con firma del cliente) + colisión de archivo entre merchants — servir por endpoint auth y nombrar con merchantId
SCRUM-49	Finalizada	ALBARAN-3 · Firma REMOTA del albarán por WhatsApp (link + firma del cliente en su móvil) con auto-envío de la copia firmada al completarse
SCRUM-50	Finalizada	WhatsApp bot · adaptar a los flujos de albarán: fallback ventana 24h (sesión vs plantilla), manejo del quick reply "Recibido" y respuestas a mensajes entrantes sobre albaranes
SCRUM-51	Finalizada	jobs · serializeJobDetail omite albaranes[] en Jobs sin quoteId (early-return) — bug latente para Jobs manuales
SCRUM-52	Finalizada	SCHEMA · Job.operarioId + índice + poblado + audit (base de SCRUM-22)
SCRUM-53	Finalizada	Proceso · evolucionar la propiedad del schema de 'dueño único' a 'edición aditiva con review obligatorio' cuando el carril Javier tenga rodaje
SCRUM-54	Finalizada	SEGURIDAD · collect-rest sin requireRole: un Técnico puede emitir factura + cobrar (contra S1)
SCRUM-55	Finalizada	SEGURIDAD · Auditoría completa de las 124 rutas /admin + red fail-closed que impide que nazca la 125 abierta (absorbe SCRUM-54)
SCRUM-56	Finalizada	Proceso · evolucionar la propiedad del schema de 'dueño único' a 'edición aditiva con review obligatorio' cuando el carril Javier tenga rodaje
SCRUM-57	Finalizada	UI · mostrar el nombre del operario (autoría) en el detalle del Trabajo — carril A (jobDetailView.js), tras SCRUM-22 backend
SCRUM-58	Finalizada	Rendimiento · N+1 en serializeJob de la lista de Trabajos (quote+customer+operario = 3 queries/job) — optimizar cuando la lista crezca
SCRUM-59	Finalizada	WhatsApp · extender validateTemplateComponents (J7) para exigir header de documento cuando hasDocumentHeader — evitar media_id vacío que solo falla en Meta (#132012)
SCRUM-60	Finalizada	ONBOARDING carril B · entorno de ejecución: Node 20 + DATABASE_URL_STAGING (no correr gated tests contra prod)
SCRUM-61	Finalizada	QA · el seed de staging debe marcar onboardingCompleted en el merchant QA (el wizard intercepta clicks del suite, fricción recurrente)
SCRUM-62	Finalizada	WhatsApp · window-first para los envíos de albarán (ahorro de plantilla en ventana 24h abierta) — gate de tracción RETIRADO (regla 13 nueva, 27-jul-2026)
SCRUM-63	Finalizada	webhooks-idempotencia.test.mjs depende de datos del seed demo (falla contra staging)
SCRUM-64	Finalizada	Tests gateados sin guard anti-prod: scrum57-operario-propagacion y scrum50-bot-albaranes
SCRUM-65	Finalizada	ALBARAN-4 · Albarán valorado: precios e IVA opcionales en las líneas (prerequisito de la recapitulativa)
SCRUM-66	Finalizada	TRABAJO-4 · Selector \"varios avisos sueltos\" vs \"obra larga\" (tipoOperacion) — nadie en el mercado lo tiene
SCRUM-67	Finalizada	ALBARAN-5 · PDF legalmente impecable: rótulo \"NO ES FACTURA\", datos fiscales de las partes y fecha de ejecución
SCRUM-68	Finalizada	ALBARAN-6 · Evidencias probatorias reforzadas en la firma (hash del PDF, IP, UA, timestamp) para resistir un monitorio
SCRUM-69	Finalizada	FACT-1 · Bandeja \"pendientes de facturar\" con semáforo de plazo legal (fin de mes / día 16) — nadie avisa
SCRUM-70	Finalizada	FACT-2 · Rutas de conversión avanzadas: por rango de fechas/números, masiva por cliente, parcial por cantidad servida y recurrente
SCRUM-71	Finalizada	IA-1 · Partes por voz en obra + OCR de albaranes de proveedor (captura de oportunidad — gate post-tracción RETIRADO, regla 13 nueva 27-jul-2026)
SCRUM-72	Finalizada	🔴 SEGURIDAD/RGPD · PDFs de FACTURA públicos y enumerables sin login (mismo fallo que SCRUM-48 dejó sin cerrar)
SCRUM-73	Finalizada	🔴 FISCAL · verifactu.xml genera registros RRSIF sin gate de flag y accesible a Técnico (choca con reglas 24/26)
SCRUM-74	Finalizada	🔴 SEGURIDAD/RGPD · /recibo/:chargeId/pdf enumerable: facturas ajenas descargables sin login (la otra puerta de SCRUM-72)
SCRUM-75	Finalizada	QA · 4 archivos de test (SCRUM-47/49/50/57) nunca se registraron en npm test — falsa cobertura (reaparición de P3-7)
