# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 561.3 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
1	0.0	0.0000	cae	restauracion-del-arbol-ejecutable.test.mjs · la restauración pide DOS piezas cuando el fichero se compila   (+1 test(s) más caídos)
2	1.6	0.0029	cae	restauracion-del-arbol-ejecutable.test.mjs · devuelve LOS DOS ficheros a sus bytes
3	3.3	0.0058	cae	restauracion-del-arbol-ejecutable.test.mjs · el censo distingue EJECUTAR dist/ de nombrarlo
4	4.4	0.0078	cae	scrum443-toast-legible.test.mjs · TODO mensaje de error cabe en su propia duración   (+2 test(s) más caídos)
5	5.0	0.0089	cae	scrum443-toast-legible.test.mjs · lo que NO se cierra solo SIEMPRE se puede cerrar a mano
6	5.9	0.0105	cae	scrum534d-extractores-a-mano.test.mjs · SCRUM-534d · 🔴 MUTACIÓN: quitar el espacio de la expresión reabre el agujero, y ENTRA
7	6.4	0.0113	cae	scrum534d-extractores-a-mano.test.mjs · SCRUM-534d · 🔴 ningún extractor de rutas .md se escribe A MANO   (+1 test(s) más caídos)
8	7.1	0.0127	cae	scrum547-el-documento-que-nadie-mira.test.mjs · SCRUM-547 · 🔴 todo documento «para aprobar» está enlazado desde donde el fundador mira   (+1 test(s) más caídos)
9	7.5	0.0134	cae	scrum547-el-documento-que-nadie-mira.test.mjs · SCRUM-547 · 🔴 la lista de «sin enlazar» está cerrada, y ninguna entrada sobra
10	9.8	0.0175	cae	scrum554-el-censo-no-confunde-el-numero.test.mjs · SCRUM-554 · NEGATIVO: un 143 real NO se llama rojo
11	11.7	0.0208	cae	scrum586-forma-de-pago-por-cliente.test.mjs · EL QUE CIERRA LA DECISIÓN: aplicar NO se alcanza fuera de un clic   (+1 test(s) más caídos)
12	12.6	0.0224	cae	scrum586-forma-de-pago-por-cliente.test.mjs · un valor ILEGIBLE no es una propuesta más pequeña: no hay propuesta
13	13.5	0.0241	cae	scrum586-forma-de-pago-por-cliente.test.mjs · sin IBAN NO se propone transferencia, aunque esté pactada
14	14.4	0.0257	cae	scrum586-forma-de-pago-por-cliente.test.mjs · un pacto de LAS TRES consta, y aun así no propone nada
15	15.3	0.0273	cae	scrum586-forma-de-pago-por-cliente.test.mjs · el texto de la tira es el FIRMADO, literal
16	16.2	0.0289	cae	scrum586-forma-de-pago-por-cliente.test.mjs · el rótulo del BOTÓN sigue sin firmar, con la grafía que el censo CUENTA   (+1 test(s) más caídos)
17	17.7	0.0316	cae	scrum596-la-nota-interna-no-sale.test.mjs · SCRUM-596 · 🔴 LA NOTA INTERNA NO PASA EL PROYECTOR, y la fila SÍ la traía
18	18.5	0.0330	cae	scrum596-la-nota-interna-no-sale.test.mjs · SCRUM-596 · 🔴 LA LANDING DEL CLIENTE NO LEE LA NOTA INTERNA
19	19.9	0.0355	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · Presupuestos ya NO tiene submenú, y su entrada abre la LISTA
20	20.7	0.0368	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · LAS CUATRO LISTAS registran su destino, y Clientes es una de ellas
21	21.4	0.0381	cae	scrum599-navegacion-documentos-y-atajo.test.mjs · la tecla se pinta EN el botón, en las CUATRO listas
22	24.3	0.0433	cae	scrum600d-el-envio-tras-emitir.test.mjs · tras emitir, el destino es la FICHA del documento, con su id   (+4 test(s) más caídos)
23	25.7	0.0459	cae	scrum600d-el-envio-tras-emitir.test.mjs · tras emitir, el destino es la FICHA del documento, con su id   (+3 test(s) más caídos)
24	27.2	0.0485	cae	scrum600d-el-envio-tras-emitir.test.mjs · RESPALDO: si el alta no trae id, se vuelve al listado — nunca a una ficha vacía
25	28.8	0.0513	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · el ALBARÁN dice ALBARÁN arriba del todo, en sus tres modos   (+1 test(s) más caídos)
26	29.6	0.0528	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · la FACTURA dice FACTURA arriba del todo   (+1 test(s) más caídos)
27	30.4	0.0542	cae	scrum608-tipo-de-documento-en-la-cabecera.test.mjs · el PRESUPUESTO dice su tipo, y lo dice en el idioma del país
28	31.5	0.0560	cae	scrum631-la-unicidad-tiene-vigilante.test.mjs · GUARD · src/index.ts ESPERA a assertUnicidadDeNombre ANTES de app.listen
29	32.0	0.0570	cae	scrum631-la-unicidad-tiene-vigilante.test.mjs · GUARD · src/index.ts ESPERA a assertUnicidadDeNombre ANTES de app.listen
30	33.1	0.0591	cae	scrum641-nombre-cogido-sin-500.test.mjs · toda escritura de UNA FILA contesta 409 al chocar con el nombre
31	33.7	0.0600	cae	scrum641-nombre-cogido-sin-500.test.mjs · un código SIN mapear cae al respaldo que ya estaba escrito, no al código
32	35.9	0.0639	cae	scrum649-el-ancla-que-no-apunta.test.mjs · SCRUM-649 · 🔴 EL QUE DECIDE: un sha bien formado e INEXISTENTE hace caer el guard
33	36.6	0.0652	cae	scrum691-contraste-de-tokens.test.mjs · SCRUM-691 · 🔴 todo par declarado llega a 3,00 de contraste   (+3 test(s) más caídos)
34	36.9	0.0658	cae	scrum691-contraste-de-tokens.test.mjs · SCRUM-691c · 🔴 el borde del CAMPO se ve MÁS que el de su tarjeta, y no al revés   (+4 test(s) más caídos)
35	38.0	0.0677	cae	scrum716-ritmo-de-despliegue.test.mjs · EL QUE DECIDE: sin lectura anterior es NO SE SABE, y NO «congelado»   (+1 test(s) más caídos)
36	38.5	0.0686	cae	scrum716-ritmo-de-despliegue.test.mjs · DESPLIEGA: producción se movió entre las dos lecturas   (+8 test(s) más caídos)
37	39.0	0.0695	cae	scrum716-ritmo-de-despliegue.test.mjs · una lectura ilegible da NO SE SABE, no un veredicto a medias
38	39.5	0.0705	cae	scrum716-ritmo-de-despliegue.test.mjs · una lectura ilegible da NO SE SABE, no un veredicto a medias
39	40.1	0.0714	cae	scrum716-ritmo-de-despliegue.test.mjs · EL CASO DEL 6-sep: RETRASADO PERO DESPLEGANDO, y NO bloquea
40	40.6	0.0723	cae	scrum716-ritmo-de-despliegue.test.mjs · CONGELADO DE VERDAD pasado el margen: CANTA (salida 1)
41	41.1	0.0732	cae	scrum716-ritmo-de-despliegue.test.mjs · NO_SE_SABE con hueco: ni verde ni congelado (salida 2)
42	41.6	0.0742	cae	scrum716-ritmo-de-despliegue.test.mjs · SIN HUECO sigue verde aunque no haya lectura anterior
43	47.3	0.0843	cae	scrum736-el-suelo-que-no-avisa.test.mjs · SCRUM-736 · 🔴 EL QUE DECIDE: perder 441 tests HOY hace caer el suelo, y BLOQUEA
44	48.9	0.0871	cae	scrum738-el-tablero-contra-el-arbol.test.mjs · «72» NO casa con 720, 727 ni 1727 — se compara el NÚMERO
45	49.7	0.0885	cae	scrum738-el-tablero-contra-el-arbol.test.mjs · SCRUM-684 NO se da por hecho: su entrada está titulada para OTRO
46	50.8	0.0906	cae	scrum739-informes-al-sitio-unico.test.mjs · EL QUE DECIDE: con cuatro cifras, Informes escribe el punto de millar   (+3 test(s) más caídos)
47	51.4	0.0916	cae	scrum739-informes-al-sitio-unico.test.mjs · Informes ya no formatea dinero por su cuenta
48	54.3	0.0967	cae	scrum740-carrera-por-el-arbol.test.mjs · TRINQUETE: todo el que barre el árbol lee con el helper
49	55.7	0.0992	cae	scrum740-carrera-por-el-arbol.test.mjs · y cada barredor CIERRA con su suelo
50	56.9	0.1014	cae	scrum743-tercera-forma.test.mjs · el front y el backend escriben el MISMO número
51	57.5	0.1024	cae	scrum743-tercera-forma.test.mjs · el rótulo del eje ya pasa por la tercera forma
52	62.9	0.1120	cae	scrum745-comparar-por-identidad.test.mjs · el meta-guard mira la LÍNEA BASE, y NO reconoce mensajes de error
53	65.6	0.1168	cae	scrum745-comparar-por-identidad.test.mjs · con el FICHERO MUERTO, ni pasó ni cayó   (+1 test(s) más caídos)
54	68.2	0.1216	cae	scrum745-comparar-por-identidad.test.mjs · los dos lectores NO cuelgan de ningún reporter
55	70.3	0.1253	cae	scrum745-comparar-por-identidad.test.mjs · una declaración INCOMPLETA se DENUNCIA, no se descarta en silencio
56	71.9	0.1281	cae	scrum748-no-lo-se-no-es-al-dia.test.mjs · y la LÍNEA que decide ya no lleva el respaldo   (+1 test(s) más caídos)
57	72.7	0.1295	cae	scrum748-no-lo-se-no-es-al-dia.test.mjs · NINGÚN estado desconocido se pinta «AL DÍA»   (+1 test(s) más caídos)
58	73.7	0.1312	cae	scrum749-la-primitiva-que-normaliza.test.mjs · un día que NO EXISTE se RECHAZA, no se normaliza a otro   (+2 test(s) más caídos)
59	80.4	0.1433	cae	scrum750-los-dos-calendarios.test.mjs · EL QUE DECIDE: navegador en Auckland   (+3 test(s) más caídos)
60	84.8	0.1512	cae	scrum750-los-dos-calendarios.test.mjs · la VISTA le pasa el merchant al atajo
61	89.3	0.1591	cae	scrum750-los-dos-calendarios.test.mjs · FAIL-CLOSED: sin la pieza de calendario
